year,id,age,rank,male,run_count,years_since_run,time_in_secs,prev_year
2009,14036,46,2687,0,0,-1,22288,-1
2010,14036,36,1856,0,1,1,17462,2009
2010,14040,22,1107,0,1,1,15545,2009
2009,14040,21,757,0,0,-1,14116,-1
2011,14040,23,611,0,2,1,13338,2010
2009,14041,26,2451,1,0,-1,19868,-1
2013,14041,30,3296,1,1,4,15201,2009
2009,14043,34,440,1,0,-1,13176,-1
2010,14043,35,879,1,1,1,14964,2009
2009,14053,30,2087,1,0,-1,17980,-1
2013,14053,34,3132,1,1,4,15096,2009
2010,14064,40,2229,0,1,1,18702,2009
2009,14064,39,2647,0,0,-1,21673,-1
2014,14072,38,1199,1,1,5,15579,2009
2009,14072,33,1887,1,0,-1,17270,-1
2012,14077,39,3204,0,1,3,19312,2009
2009,14077,36,2737,0,0,-1,23637,-1
2010,14080,29,443,0,1,1,13719,2009
2009,14080,28,709,0,0,-1,13988,-1
2009,14082,40,2491,0,0,-1,20104,-1
2012,14082,43,3187,0,1,3,19245,2009
2012,14086,22,2088,1,2,2,16539,2010
2009,14086,19,2177,1,0,-1,18368,-1
2010,14086,20,2863,1,1,1,24780,2009
2015,14086,40,906,1,3,3,14523,2012
2011,14094,50,2491,0,2,1,17449,2010
2010,14094,49,2290,0,1,1,18980,2009
2009,14094,48,2430,0,0,-1,19736,-1
2009,14104,26,2391,1,0,-1,19526,-1
2010,14104,27,2554,1,1,1,20261,2009
2012,14104,29,3284,1,3,1,19597,2011
2011,14104,28,3370,1,2,1,21324,2010
2009,14120,55,972,1,0,-1,14772,-1
2014,14120,60,2722,1,2,4,19406,2010
2010,14120,56,1392,1,1,1,16250,2009
2010,14123,45,1695,1,1,1,17018,2009
2009,14123,44,2302,1,0,-1,19055,-1
2009,14132,52,1338,0,0,-1,15734,-1
2010,14132,53,775,0,1,1,14533,2009
2013,14134,28,352,0,1,4,12123,2009
2009,14134,24,381,0,0,-1,13047,-1
2009,14136,29,2028,1,0,-1,17764,-1
2011,14136,31,490,1,1,2,12987,2009
2009,14139,44,119,1,0,-1,11685,-1
2010,14139,45,294,1,1,1,13056,2009
2013,14141,42,1039,1,1,4,13351,2009
2009,14141,40,1454,1,0,-1,16091,-1
2009,14148,38,212,1,0,-1,12393,-1
2013,14148,42,817,1,1,4,13028,2009
2010,14155,63,791,1,1,1,14634,2009
2009,14155,62,555,1,0,-1,13585,-1
2013,14155,66,1740,1,2,3,14073,2010
2009,14168,35,125,1,0,-1,11730,-1
2011,14168,37,170,1,1,2,11713,2009
2011,14169,20,962,0,1,2,14065,2009
2009,14169,18,809,0,0,-1,14241,-1
2009,14178,39,2170,0,0,-1,18335,-1
2011,14178,41,2414,0,2,1,17213,2010
2010,14178,40,1893,0,1,1,17559,2009
2012,14178,42,3477,0,3,1,20393,2011
2010,14187,41,2644,1,1,1,20961,2009
2009,14187,40,2477,1,0,-1,20005,-1
2011,14188,48,1843,0,2,1,15966,2010
2010,14188,47,1569,0,1,1,16684,2009
2014,14188,51,1125,0,3,3,15419,2011
2009,14188,46,2300,0,0,-1,19051,-1
2009,14193,49,655,1,0,-1,13845,-1
2013,14193,53,1175,1,1,4,13529,2009
2010,14214,41,230,1,1,1,12748,2009
2009,14214,40,795,1,0,-1,14203,-1
2015,14217,45,817,1,1,6,14330,2009
2009,14217,43,215,1,0,-1,12399,-1
2009,14225,39,1182,1,0,-1,15336,-1
2010,14225,40,1032,1,1,1,15363,2009
2012,14226,42,2765,1,3,1,18084,2011
2009,14226,39,2382,1,0,-1,19494,-1
2010,14226,40,1930,0,1,1,17667,2009
2011,14226,41,2917,0,2,1,18698,2010
2010,14227,46,955,1,1,1,15161,2009
2011,14227,47,1477,1,2,1,15186,2010
2009,14227,45,1390,1,0,-1,15870,-1
2015,14235,35,873,0,1,6,14456,2009
2009,14235,30,1614,0,0,-1,16555,-1
2015,14236,40,2234,0,1,6,18969,2009
2009,14236,37,1440,0,0,-1,16040,-1
2011,14239,51,2817,1,1,2,18374,2009
2009,14239,33,961,1,0,-1,14746,-1
